"","probs","Player","Tm","Pos","Age","G","USG.","TOV.","FTA","FT.","X2PA","X2P.","X3PA","X3P.","eFG.","TS.","TRB.","AST.","PTS","MP","TRB","AST","STL","BLK","TOV"
"219",99.3186981922591,"James Harden","Hou","G",30.54,61,36.4,13.7,719,0.861,617,0.538,769,0.352,0.533,0.616,9.1,34.4,2098.4,2238.7,384.3,451.4,106.14,53.07,270.23
"276",98.5259214970675,"LeBron James","Lal","F",35.2,60,31.6,15.3,343,0.697,795,0.57,381,0.349,0.555,0.582,12.2,49.7,1542,2094,474,636,73.8,30,238.8
"12",98.2083345415022,"Giannis Antetokounmpo","Mil","F",25.26,57,37.4,13.1,570,0.633,868,0.622,271,0.306,0.583,0.608,21.9,33.9,1687.2,1761.3,780.9,330.6,59.85,58.14,209.19
"149",90.0226013542524,"Luka Doncic","Dal","G-F",21.03,54,37,14.7,491,0.752,619,0.575,491,0.318,0.532,0.584,14.6,45.3,1549.8,1798.2,502.2,469.8,57.24,10.26,227.88
"327",87.2498554763375,"Damian Lillard","Por","G",29.66,58,30.2,11,438,0.888,588,0.519,573,0.394,0.555,0.619,6.1,34.1,1676.2,2140.2,249.4,452.4,59.16,20.88,168.2
"546",80.4767342386101,"Russell Westbrook","Hou","G",31.33,53,34.4,14.9,346,0.777,998,0.518,201,0.254,0.495,0.539,11.8,35,1457.5,1902.7,429.3,371,89.04,16.96,235.85
"136",77.1037824167855,"Anthony Davis","Lal","F-C",27,55,29.7,10.1,457,0.845,800,0.554,194,0.335,0.544,0.614,14.9,14.6,1468.5,1886.5,517,170.5,81.95,134.2,134.75
"567",72.9612417331189,"Trae Young","Atl","G",21.48,60,34.9,16.2,559,0.86,681,0.501,568,0.361,0.519,0.595,6.4,45.6,1776,2118,252,558,64.8,7.8,288
"324",72.0424574489137,"Kawhi Leonard","Lac","F",28.7,51,33.2,10.7,350,0.889,724,0.51,292,0.366,0.521,0.585,11.7,27,1371.9,1642.2,372.3,255,91.8,31.11,140.25
"37",69.4702548742276,"Bradley Beal","Was","G",26.7,57,34.5,11.5,458,0.843,822,0.515,481,0.353,0.52,0.579,6.5,29.1,1744.2,2052,239.4,347.7,71.82,22.8,194.94
"87",57.7323721826558,"Jimmy Butler","Mia","F",30.49,54,25.2,11.2,490,0.833,606,0.493,117,0.248,0.474,0.582,10.8,28.1,1090.8,1852.2,356.4,329.4,91.8,29.16,118.26
"288",55.5674997449372,"Nikola Jokic","Den","C",25.06,65,26.6,15.6,268,0.813,743,0.594,226,0.314,0.565,0.604,17.6,34.3,1313,2099.5,663,448.5,76.7,42.9,200.85
"430",52.5429723192062,"Chris Paul","Okc","G",34.85,63,23.2,13,250,0.9,526,0.557,279,0.362,0.552,0.609,8.6,33.4,1115.1,2003.4,315,428.4,98.28,8.82,136.71
"133",52.2703456198487,"Stephen Curry","Gol","G",31.99,5,33.6,14.6,26,1,33,0.636,49,0.245,0.476,0.557,10.1,42.2,104,139.5,26,33,5,2,16
"333",49.7250622032859,"Kyle Lowry","Tor","G",33.97,52,23.1,15,296,0.861,309,0.505,432,0.354,0.52,0.589,7,31,1024.4,1903.2,249.6,400.4,70.2,21.84,153.92
"162",44.0009586608176,"Joel Embiid","Phi","C-F",25.99,44,32.7,13.4,382,0.814,541,0.51,161,0.348,0.513,0.592,21.6,17.3,1029.6,1328.8,519.2,136.4,36.96,58.96,135.08
"549",39.5512756937824,"Hassan Whiteside","Por","C",30.75,61,19.8,13.1,225,0.68,669,0.619,7,0.571,0.621,0.641,23.6,6,994.3,1909.3,866.2,73.2,23.79,187.27,117.12
"142",39.0667622468538,"DeMar DeRozan","San","F",30.6,61,26.6,11.5,400,0.843,926,0.535,30,0.267,0.53,0.597,8.9,26,1348.1,2092.3,347.7,341.6,62.22,14.03,147.01
"266",36.9094440844211,"Kyrie Irving","Bro","G",27.97,20,32.6,10.1,102,0.922,274,0.522,142,0.394,0.546,0.595,8.1,37.4,548,658,104,128,27,10,52
"529",34.4851996179734,"Nikola Vucevic","Orl","C",29.38,54,25.8,7.3,146,0.781,661,0.523,249,0.329,0.515,0.54,18.1,20,1053,1760.4,594,199.8,45.9,46.98,77.22
"513",32.9095092399238,"Karl-Anthony Towns","Min","C-F",24.32,35,28.8,13.2,226,0.796,345,0.586,277,0.412,0.6,0.642,16.8,22.8,927.5,1186.5,378,154,32.9,42,109.9
"147",26.5675302587505,"Spencer Dinwiddie","Bro","G",26.93,64,29.2,12.5,446,0.778,620,0.485,400,0.308,0.476,0.542,5.7,35.5,1318.4,1996.8,224,435.2,40.32,21.12,174.08
"3",25.3638061004155,"LaMarcus Aldridge","San","F-C",34.65,53,23.6,7.8,191,0.827,637,0.518,157,0.389,0.531,0.57,12,11.4,1001.7,1754.3,392.2,127.2,36.04,86.92,74.2
"60",22.686149198589,"Devin Booker","Pho","G",23.36,62,29.5,15.7,442,0.916,768,0.544,350,0.36,0.543,0.617,6.4,30.2,1618.2,2238.2,254.2,409.2,44.02,16.12,244.28
"155",19.1115186816435,"Andre Drummond","Det","C",26.59,49,25.5,18,255,0.584,658,0.546,21,0.048,0.531,0.55,26.6,14,872.2,1651.3,774.2,137.2,97.02,81.83,173.95
"534",19.1009457714369,"Kemba Walker","Bos","G",29.84,50,27.9,10.3,225,0.867,394,0.47,438,0.377,0.52,0.569,6.9,24.6,1060,1590,205,245,47,25,107
"465",18.8056721449806,"Derrick Rose","Det","G",31.43,50,31.6,13.4,139,0.871,606,0.535,147,0.306,0.52,0.555,5.3,40.5,905,1300,120,280,40,17,126
