"","season","sal_seson"
"1","1984-85",2791633.33333333
"2","1985-86",3651686.83333333
"3","1986-87",724044.433333333
"4","1987-88",4637963.56666667
"5","1988-89",5649717.43333333
"6","1989-90",3564666.66666667
"7","1990-91",9785433.33333333
"8","1991-92",12311066.6666667
"9","1992-93",14298339.3333333
"10","1993-94",16677812.1666667
"11","1994-95",18954961.1666667
"12","1995-96",22430866.6666667
"13","1996-97",26640873.3333333
"14","1997-98",31396941.6333333
"15","1998-99",35376899.6333333
"16","1999-00",43810672.8
"17","2000-01",50050300.5
"18","2001-02",51953421.8
"19","2002-03",55633216.9
"20","2003-04",55737284.8666667
"21","2004-05",59044783.5666667
"22","2005-06",63221077.2
"23","2006-07",64607697.6333333
"24","2007-08",68760834.2666667
"25","2008-09",71933780.3
"26","2009-10",70426461.4333333
"27","2010-11",67479697.5666667
"28","2011-12",66921566.6333333
"29","2012-13",70094167.3
"30","2013-14",66497113.3666667
"31","2014-15",72740530.3333333
"32","2015-16",78022231.1
"33","2016-17",97905285.7666667
"34","2017-18",110402175.833333
