"","X1","probs","quinteto","Year","Player","Pos"
"1",250,99.8245346531687,1,2015,"James Harden","SG"
"2",136,99.465827208483,1,2015,"Stephen Curry","PG"
"3",448,98.9494780696684,1,2015,"Chris Paul","PG"
"4",148,98.6850685082182,1,2015,"Anthony Davis","PF"
"5",616,97.6788312015749,1,2015,"Russell Westbrook","PG"
"6",290,91.0793190330923,1,2015,"LeBron James","SF"
"7",210,79.185707801669,1,2015,"Pau Gasol","PF"
"8",11,71.4856511463545,1,2015,"LaMarcus Aldridge","PF"
"9",351,49.7069502708132,0,2015,"Damian Lillard","PG"
"10",608,39.8363998999627,0,2015,"John Wall","PG"
"11",239,36.0144614551496,1,2015,"Blake Griffin","PF"
"12",88,34.9204914903657,0,2015,"Jimmy Butler","SG"
"13",209,34.8599115927732,1,2015,"Marc Gasol","C"
"14",284,32.2469383580062,1,2015,"Kyrie Irving","PG"
"15",174,25.7431155194439,1,2015,"Tim Duncan","C"
"16",126,21.2021008747644,1,2015,"DeMarcus Cousins","C"
"17",316,17.9791573155433,1,2015,"DeAndre Jordan","C"
"18",582,16.3965761114106,1,2015,"Klay Thompson","SG"
"19",176,12.4961953898746,0,2015,"Kevin Durant","SF"
"20",275,8.00146433183637,0,2015,"Al Horford","C"
"21",567,7.88351785059557,0,2015,"Jeff Teague","PG"
"22",259,7.62399643088857,0,2015,"Gordon Hayward","SF"
"23",55,6.5904998950931,0,2015,"Sim Bhullar","C"
"24",348,5.83191223551202,0,2015,"Kawhi Leonard","SF"
"25",400,5.7422212257566,0,2015,"Paul Millsap","PF"
"26",487,4.62611898090399,0,2015,"Zach Randolph","PF"
"27",601,3.62652480630859,0,2015,"Nikola Vucevic","C"
"28",191,3.45785716030105,0,2015,"Derrick Favors","PF"
"29",356,3.39248356738046,0,2015,"Kevin Love","PF"
"30",340,3.05243048155931,0,2015,"Ty Lawson","PG"
"31",357,2.95481098982975,0,2015,"Kyle Lowry","PG"
"32",172,2.3648915731631,0,2015,"Andre Drummond","C"
"33",354,2.02247703630087,0,2015,"Brook Lopez","C"
"34",602,1.95871014834324,0,2015,"Dwyane Wade","SG"
"35",211,1.85938266274515,0,2015,"Rudy Gay","SF"
"36",267,1.8367088170157,0,2015,"George Hill","PG"
"37",107,1.80533422777976,0,2015,"Tyson Chandler","C"
"38",62,1.7684881755723,0,2015,"Eric Bledsoe","PG"
"39",122,1.67199395127861,0,2015,"Mike Conley","PG"
"40",330,1.53947910639493,0,2015,"Brandon Knight","PG"
"41",196,1.52235739519316,0,2015,"Jamaal Franklin","SG"
"42",403,1.51634520477591,0,2015,"Greg Monroe","PF"
"43",288,1.29698200200602,0,2015,"Reggie Jackson","PG"
"44",23,1.27939068930032,0,2015,"Carmelo Anthony","SF"
"45",574,1.23282810554453,0,2015,"Isaiah Thomas","PG"
"46",52,1.22556227591177,0,2015,"Jerrelle Benimon","PF"
"47",322,1.17927601563599,0,2015,"Enes Kanter","C"
"48",69,1.1524545686435,0,2015,"Chris Bosh","C"
"49",291,1.13129279990295,0,2015,"Al Jefferson","C"
"50",229,0.971274140515557,0,2015,"Draymond Green","PF"
"51",225,0.937161430717761,0,2015,"Marcin Gortat","C"
"52",434,0.806546819525894,0,2015,"Dirk Nowitzki","PF"
"53",607,0.805683553336354,0,2015,"Kemba Walker","PG"
"54",329,0.749629358316229,0,2015,"Brandon Knight","PG-SG"
"55",617,0.718254225043084,0,2015,"Hassan Whiteside","C"
"56",276,0.622560091607419,0,2015,"Dwight Howard","C"
"57",218,0.594038039013,0,2015,"Rudy Gobert","C"
"58",630,0.58771406236963,0,2015,"Mo Williams","PG"
"59",295,0.578179598716704,0,2015,"Brandon Jennings","PG"
"60",320,0.576424254990551,0,2015,"Enes Kanter","C"
"61",572,0.537115214739351,0,2015,"Isaiah Thomas","PG"
"62",186,0.515538515744826,0,2015,"Tyreke Evans","SG"
"63",158,0.496181946668779,0,2015,"DeMar DeRozan","SG"
"64",80,0.458430008222294,0,2015,"Kobe Bryant","SG"
