"","probs","quinteto","Year","Player"
"616",98.4096255648919,0,2015,"Russell Westbrook"
"250",97.8391288978373,1,2015,"James Harden"
"290",93.8894457713311,1,2015,"LeBron James"
"136",90.3460852894166,1,2015,"Stephen Curry"
"448",84.8618999648775,1,2015,"Chris Paul"
"210",81.1841994499959,0,2015,"Pau Gasol"
"148",80.694417866748,0,2015,"Anthony Davis"
"174",76.0130726015654,0,2015,"Tim Duncan"
"11",55.4431659405938,1,2015,"LaMarcus Aldridge"
"55",53.27340469227,0,2015,"Sim Bhullar"
"209",47.1808743510648,0,2015,"Marc Gasol"
"602",44.9419338663668,0,2015,"Dwyane Wade"
"126",43.5437243343756,0,2015,"DeMarcus Cousins"
"608",35.5659564108588,0,2015,"John Wall"
"80",28.9543825489102,0,2015,"Kobe Bryant"
"351",27.1759652749548,1,2015,"Damian Lillard"
"239",27.1666846708865,1,2015,"Blake Griffin"
"567",18.1130341662171,0,2015,"Jeff Teague"
"487",17.6519085972101,0,2015,"Zach Randolph"
"275",15.9302335657326,0,2015,"Al Horford"
"88",15.7172133491837,0,2015,"Jimmy Butler"
"259",14.8166736858171,0,2015,"Gordon Hayward"
"176",13.820916502742,1,2015,"Kevin Durant"
"316",12.3653469189791,0,2015,"DeAndre Jordan"
"434",12.209534266521,0,2015,"Dirk Nowitzki"
"400",11.8392555735033,0,2015,"Paul Millsap"
"340",11.758501401954,0,2015,"Ty Lawson"
"23",10.0286171280784,0,2015,"Carmelo Anthony"
"217",9.76982405156232,0,2015,"Manu Ginobili"
"284",9.36020640612876,0,2015,"Kyrie Irving"
"291",9.10266714404245,1,2015,"Al Jefferson"
"582",8.63946030002443,0,2015,"Klay Thompson"
"211",7.88635612828253,0,2015,"Rudy Gay"
"69",7.44686879731406,0,2015,"Chris Bosh"
"357",7.28070695321067,0,2015,"Kyle Lowry"
"630",6.95585490013767,0,2015,"Mo Williams"
"62",6.90483757105393,0,2015,"Eric Bledsoe"
"348",6.76707039999534,0,2015,"Kawhi Leonard"
"356",6.75903353319638,1,2015,"Kevin Love"
"288",6.69234335333525,0,2015,"Reggie Jackson"
"403",6.61377915362866,0,2015,"Greg Monroe"
"107",5.69026950675123,0,2015,"Tyson Chandler"
"626",5.67130613620105,0,2015,"Lou Williams"
"267",5.63389433884844,0,2015,"George Hill"
"607",5.37912889551138,0,2015,"Kemba Walker"
"574",5.04593440420237,0,2015,"Isaiah Thomas"
"509",4.92158908397827,0,2015,"Derrick Rose"
"122",4.89103496753493,0,2015,"Mike Conley"
"295",4.84256934932131,0,2015,"Brandon Jennings"
"572",4.82731444603241,0,2015,"Isaiah Thomas"
"507",4.58317556576933,0,2015,"Rajon Rondo"
"129",4.35040736504226,0,2015,"Jamal Crawford"
"143",4.24133019126426,0,2015,"Luigi Datome"
"191",4.23177092475406,0,2015,"Derrick Favors"
"615",4.20756691457518,0,2015,"David West"
"445",4.00898946673011,1,2015,"Tony Parker"
"186",3.71951024024234,0,2015,"Tyreke Evans"
"354",3.59467062708845,0,2015,"Brook Lopez"
"330",3.56846125281266,0,2015,"Brandon Knight"
"158",3.56815794884342,0,2015,"DeMar DeRozan"
"519",3.52266755504964,0,2015,"Luis Scola"
"172",3.39667825941767,0,2015,"Andre Drummond"
"276",3.37042869238837,1,2015,"Dwight Howard"
"617",3.31933252779894,0,2015,"Hassan Whiteside"
"208",3.31596313098912,0,2015,"Kevin Garnett"
"218",3.17756045245768,0,2015,"Rudy Gobert"
"91",3.13681966595028,0,2015,"Will Bynum"
"601",3.0127593449377,0,2015,"Nikola Vucevic"
"225",2.91237913168078,0,2015,"Marcin Gortat"
"391",2.75746325476325,0,2015,"Andre Miller"
"207",2.70588069843117,0,2015,"Kevin Garnett"
"628",2.62479249666964,0,2015,"Mo Williams"
"286",2.5206662256816,0,2015,"Reggie Jackson"
"206",2.51636915337344,0,2015,"Kevin Garnett"
"329",2.48777075377353,0,2015,"Brandon Knight"
"621",2.45529269153521,0,2015,"Deron Williams"
"392",2.39458534344627,0,2015,"Andre Miller"
"457",2.38805473700609,0,2015,"Paul Pierce"
"529",2.38149745228718,0,2015,"Alexey Shved"
"547",2.33593825606587,0,2015,"Josh Smith"
"405",2.31203054566256,0,2015,"Eric Moreland"
"548",2.23984907058584,0,2015,"Josh Smith"
"542",2.22375398936403,0,2015,"Ish Smith"
"319",2.19397034402834,0,2015,"Chris Kaman"
"345",2.16521489228826,0,2015,"David Lee"
"532",2.10453762059983,0,2015,"Alexey Shved"
"390",2.05244399982716,0,2015,"Andre Miller"
"102",2.0507397363966,0,2015,"Michael Carter-Williams"
"425",1.92934863547553,0,2015,"Jameer Nelson"
"103",1.82526019230496,0,2015,"Michael Carter-Williams"
"30",1.77252284631914,0,2015,"D.J. Augustin"
"179",1.77227765401893,0,2015,"Monta Ellis"
"443",1.70769710785828,0,2015,"Jannero Pargo"
"549",1.66433019856454,0,2015,"Josh Smith"
"554",1.59753073365518,0,2015,"Marreese Speights"
"530",1.54424853860682,0,2015,"Alexey Shved"
"595",1.53436062670022,0,2015,"Beno Udrih"
"561",1.52170036124857,0,2015,"Amar'e Stoudemire"
"573",1.50977237929971,0,2015,"Isaiah Thomas"
"562",1.46624897313627,0,2015,"Amar'e Stoudemire"
"540",1.46044352122093,0,2015,"Ish Smith"
"564",1.44347351422476,0,2015,"Rodney Stuckey"
"629",1.42662339643119,0,2015,"Mo Williams"
"359",1.42418076211691,0,2015,"John Lucas"
"441",1.3687802070132,0,2015,"Zaza Pachulia"
"563",1.36665097167019,0,2015,"Amar'e Stoudemire"
"285",1.36384177800852,0,2015,"Jarrett Jack"
