"","isSeasonCurrent","slugSeason","yearSeason","urlSeasonBREF","nameTeam","isPlayoffTeam","winsTeam","lossesTeam","winsPythagTeam","lossesPythagTeam","marginVictoryTeam","ratioFTtoFGATeam","ratioFTtoFGAOpponent","nameArena","attendanceArenaTeam","attendancePerGameTeam","slugTeamBREF","urlBREFTeamData","idTeamNBA","urlThumbnailTeam","ageMeanMisc","ratingStrengthOfScheduleMisc","ratingSimpleSystemMisc","ortgTeamMisc","drtgTeamMisc","nrtgTeamMisc","paceTeamMisc","pctFTRateMisc","pct3PRateMisc","pctTrueShootingeTeamMisc","pctEFGTeamMisc","pctTOVTeamMisc","pctORBTeamMisc","pctEFGTeamOppMisc","pctTOVOpponentMisc","pctDRBOpponentMisc"
"1",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Boston Celtics",TRUE,61,21,60,22,7.79,0.258,0.234,"Boston Garden",596349,14664,"BOS","https://www.basketball-reference.com/teams/BOS/1980.html",1610612738,"https://stats.nba.com/media/img/teams/logos/BOS_logo.svg",27.3,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,0.501,15.4,34.8,0.475,16.5,67.8
"2",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Los Angeles Lakers",TRUE,60,22,55,27,5.9,0.22,0.181,"The Forum",582882,17505,"LAL","https://www.basketball-reference.com/teams/LAL/1980.html",1610612747,"https://stats.nba.com/media/img/teams/logos/LAL_logo.svg",26.2,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,0.53,16.5,32.6,0.475,14,66.9
"3",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Seattle SuperSonics",TRUE,56,26,53,29,4.66,0.229,0.221,"King County Domed Stadium",NA,28726,"SEA","https://www.basketball-reference.com/teams/SEA/1980.html",NA,NA,27,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,0.474,14.9,36.4,0.463,15.4,67.9
"4",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Philadelphia 76ers",TRUE,59,23,52,30,4.22,0.262,0.217,"The Spectrum",NA,NA,"PHI","https://www.basketball-reference.com/teams/PHI/1980.html",1610612755,"https://stats.nba.com/media/img/teams/logos/PHI_logo.svg",27,-0.18,4.04,105,101,4,103,0.34,0.017,0.544,0.494,17.2,33.5,0.46,15.5,66.7
"5",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Milwaukee Bucks",TRUE,49,33,51,31,3.94,0.212,0.229,"MECCA Arena",NA,NA,"MIL","https://www.basketball-reference.com/teams/MIL/1980.html",1610612749,"https://stats.nba.com/media/img/teams/logos/MIL_logo.svg",25.3,-0.37,3.57,106.8,102.9,3.9,102.4,0.278,0.021,0.532,0.491,15,35.2,0.467,16.2,63.8
"6",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Phoenix Suns",TRUE,55,27,50,32,3.6,0.263,0.213,"Arizona Veterans Memorial Coliseum",NA,NA,"PHO","https://www.basketball-reference.com/teams/PHO/1980.html",1610612756,"https://stats.nba.com/media/img/teams/logos/PHX_logo.svg",26.5,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,0.498,16.4,30.4,0.483,16.5,66.9
"7",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Atlanta Hawks",TRUE,50,32,49,33,2.91,0.29,0.291,"Omni Coliseum",NA,NA,"ATL","https://www.basketball-reference.com/teams/ATL/1980.html",1610612737,"https://stats.nba.com/media/img/teams/logos/ATL_logo.svg",26.1,-0.09,2.83,105.2,102.3,2.9,98.9,0.376,0.011,0.523,0.465,15.4,36.9,0.461,17.1,65.6
"8",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Kansas City Kings",TRUE,47,35,49,33,3.13,0.223,0.273,"Kemper Arena",NA,NA,"KCK","https://www.basketball-reference.com/teams/KCK/1980.html",NA,NA,25.5,-0.32,2.82,104,101,3,103.2,0.3,0.015,0.522,0.48,14.5,31,0.479,17.9,68.1
"9",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Cleveland Cavaliers",FALSE,37,45,42,40,0.34,0.212,0.216,"Coliseum at Richfield",NA,15443,"CLE","https://www.basketball-reference.com/teams/CLE/1980.html",1610612739,"https://stats.nba.com/media/img/teams/logos/CLE_logo.svg",27.4,0.09,0.43,106.7,106.4,0.3,105.6,0.274,0.023,0.519,0.476,13.2,33.1,0.505,16.3,65.9
"10",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Houston Rockets",TRUE,41,41,41,41,0.17,0.238,0.23,"The Summit",NA,13656,"HOU","https://www.basketball-reference.com/teams/HOU/1980.html",1610612745,"https://stats.nba.com/media/img/teams/logos/HOU_logo.svg",27.3,0.1,0.27,108.1,108,0.1,101.2,0.31,0.051,0.533,0.487,15.5,37.6,0.499,16.1,63.2
"11",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","San Antonio Spurs",TRUE,41,41,40,42,-0.38,0.262,0.216,"HemisFair Arena",NA,NA,"SAS","https://www.basketball-reference.com/teams/SAS/1980.html",1610612759,"https://stats.nba.com/media/img/teams/logos/SAS_logo.svg",26.9,0.13,-0.24,108.6,109,-0.4,109.5,0.327,0.027,0.553,0.502,15.2,31.8,0.506,14.4,66.8
"12",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Indiana Pacers",FALSE,37,45,39,43,-0.7,0.228,0.23,"Market Square Arena",NA,NA,"IND","https://www.basketball-reference.com/teams/IND/1980.html",1610612754,"https://stats.nba.com/media/img/teams/logos/IND_logo.svg",25.3,0.16,-0.54,105.5,106.2,-0.7,104.4,0.303,0.041,0.523,0.479,14.8,35.4,0.493,17,62.5
"13",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Portland Trail Blazers",TRUE,38,44,39,43,-0.82,0.218,0.245,"Memorial Coliseum",NA,NA,"POR","https://www.basketball-reference.com/teams/POR/1980.html",1610612757,"https://stats.nba.com/media/img/teams/logos/POR_logo.svg",26.3,-0.05,-0.87,103.4,104.3,-0.9,98.6,0.293,0.018,0.519,0.477,16.1,35.5,0.482,15.3,67.9
"14",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","New York Knicks",FALSE,39,43,38,44,-1.15,0.221,0.263,"Madison Square Garden (IV)",NA,19591,"NYK","https://www.basketball-reference.com/teams/NYK/1980.html",1610612752,"https://stats.nba.com/media/img/teams/logos/NYK_logo.svg",24.1,0.19,-0.96,106.5,107.5,-1,106.5,0.296,0.025,0.539,0.498,15.7,33.7,0.498,16.4,64
"15",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","New Jersey Nets",FALSE,34,48,38,44,-1.17,0.251,0.263,"Rutgers Athletic Center",NA,7364,"NJN","https://www.basketball-reference.com/teams/NJN/1980.html",NA,NA,26.1,0.19,-0.98,101.5,102.5,-1,106.1,0.321,0.04,0.518,0.466,16.6,32.1,0.472,16.5,66.4
"16",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Washington Bullets",TRUE,39,43,34,48,-2.55,0.199,0.218,"Capital Centre",NA,9518,"WSB","https://www.basketball-reference.com/teams/WSB/1980.html",NA,NA,29,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,0.463,13.7,33.3,0.469,12.3,69.5
"17",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Chicago Bulls",FALSE,30,52,34,48,-2.71,0.291,0.251,"Chicago Stadium",NA,18508,"CHI","https://www.basketball-reference.com/teams/CHI/1980.html",1610612741,"https://stats.nba.com/media/img/teams/logos/CHI_logo.svg",25.9,0.08,-2.63,104.3,107,-2.7,101.8,0.373,0.04,0.545,0.489,17.2,32.2,0.5,15.7,68
"18",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","San Diego Clippers",FALSE,35,47,30,52,-4.15,0.213,0.215,"San Diego Sports Arena",NA,8503,"SDC","https://www.basketball-reference.com/teams/SDC/1980.html",NA,NA,27.6,0.18,-3.97,105.7,109.8,-4.1,101.4,0.289,0.072,0.522,0.482,14.6,34.2,0.503,14.2,65.4
"19",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Golden State Warriors",FALSE,24,58,29,53,-4.39,0.193,0.273,"Oakland-Alameda County Coliseum Arena",NA,13257,"GSW","https://www.basketball-reference.com/teams/GSW/1980.html",1610612744,"https://stats.nba.com/media/img/teams/logos/GSW_logo.svg",26.3,0.2,-4.2,102,106.3,-4.3,100.5,0.262,0.017,0.52,0.484,15.5,31.1,0.498,15.5,69.8
"20",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Denver Nuggets",FALSE,30,52,30,52,-4.41,0.25,0.224,"McNichols Sports Arena",NA,17298,"DEN","https://www.basketball-reference.com/teams/DEN/1980.html",1610610027,"https://stats.nba.com/media/img/teams/logos/NBA_logo.svg",27.1,0.2,-4.22,103.4,107.6,-4.2,103.9,0.34,0.034,0.517,0.469,15.1,33.6,0.497,14.4,67.8
"21",FALSE,"1979-80",1980,"https://www.basketball-reference.com/leagues/NBA_1980.html","Utah Jazz",FALSE,24,58,25,57,-6.01,0.23,0.237,"Salt Palace",NA,12327,"UTA","https://www.basketball-reference.com/teams/UTA/1980.html",1610612762,"https://stats.nba.com/media/img/teams/logos/UTA_logo.svg",26.1,0.31,-5.71,104.2,110.4,-6.2,97.6,0.285,0.027,0.547,0.5,16.7,29.7,0.5,13.5,67.1
